,athlete_id,name,born_date,died_date,born_city,born_country,born_region,height_cm,weight_kg,NOC
126,127,Claudia Gertrud Kohde-Kilsch (-Lehmann),1963-12-11,,Saarbrücken,(GER),Saarland,184.0,68.0,(GER)
127,128,"Dorothea ""Dora"" Köring",1880-07-11,1945-02-13,Chemnitz,(GER),Sachsen,,,(GER)
128,129,Olga Nemes,1968-06-09,,Târgu Mureș,(ROU),Mureș,163.0,53.0,(ROU)
129,130,Katja Nolten,1970-02-16,,Heinsberg,(GER),Nordrhein-Westfalen,175.0,66.0,(GER)
130,131,Barbara Rittner (-Diehl-),1973-04-25,,Krefeld,(GER),Nordrhein-Westfalen,173.0,65.0,(GER)
131,132,Elke Schall-Wosik (-Süß),1973-07-19,,Speyer,(GER),Rheinland-Pfalz,180.0,68.0,(GER)
132,133,Katrin Schmidt,1967-09-28,,Langenhagen,(GER),Niedersachsen,180.0,80.0,(GER)
133,134,Jie Schöpp (Shi-),1968-01-25,,Baoding,(CHN),Hebei,174.0,63.0,(CHN)
134,135,Karen Stechmann (-Neumann),1971-09-15,,Stade,(GER),Niedersachsen,169.0,59.0,(GER)
135,136,Nicole Sandra Struse,1971-05-31,,Haan,(GER),Nordrhein-Westfalen,170.0,62.0,(GER)
136,137,Kerstin Ubben,1968-09-04,,Hamburg,(GER),Hamburg,165.0,59.0,(GER)
137,138,Boris Franz Becker,1967-11-22,,Leimen,(GER),Baden-Württemberg,192.0,85.0,(GER)
138,139,Zsolt-Georg Böhm,1962-04-17,,Sălacea,(ROU),Bihor,174.0,73.0,(ROU)
139,140,Steffen Fetzner,1968-08-17,,Karlsruhe,(GER),Baden-Württemberg,170.0,60.0,(GER)
140,141,Peter Franz,1971-04-25,,Stolzenau,(GER),Niedersachsen,186.0,74.0,(GER)
141,142,Stefan Frey,1959-05-16,,Worms,(GER),Rheinland-Pfalz,178.0,82.0,(GER)
142,143,Otto Froitzheim,1884-04-24,1962-10-27,Strasbourg,(FRA),Bas-Rhin,,,(FRA)
143,144,Marc-Kevin Goellner,1970-09-22,,Rio de Janeiro,(BRA),Rio de Janeiro,196.0,85.0,(BRA)
144,145,"Hugo James Hardy, Jr.",1877-08-11,1936-10-08,Harvestehude,(GER),Hamburg,,,(GER)
145,146,Michael Helber,1970-10-04,,Bochum,(GER),Nordrhein-Westfalen,185.0,72.0,(GER)
146,147,Luis Maria Heyden,1893-11-27,1951-12-09,Eimsbüttel,(GER),Hamburg,,,(GER)
147,148,Eric Jelen,1965-03-11,,Trier,(GER),Rheinland-Pfalz,184.0,77.0,(GER)
148,149,Michael Keck,1969-02-08,,Fürth,(GER),Bayern,186.0,78.0,(GER)
149,150,Ernst Oskar Kreuzer,1887-06-14,1968-05-01,Frankfurt am Main,(GER),Hessen,,,(GER)
150,151,Stephan Kuhl,1968-03-27,,,,,180.0,79.0,(GER)
151,152,Paul Anton Maria Lindpaintner d'Almeida,1883-05-22,1969-04-23,,,,,,(GER)
152,153,Oliver Pongratz,1973-04-14,,Mindelheim,(GER),Bayern,182.0,71.0,(GER)
153,154,David Prinosil,1973-03-09,,Olomouc,(CZE),Olomoucký kraj,184.0,79.0,(CZE)
154,155,Friedrich-Wilhelm Rahe,1888-04-16,1949-02-18,Rostock,(GER),Mecklenburg-Vorpommern,,,(GER)
155,156,Jürgen Rebel,1963-07-17,,Darmstadt,(GER),Hessen,174.0,78.0,(GER)
156,157,Jörg Roßkopf,1969-05-22,,Dieburg,(GER),Hessen,182.0,72.0,(GER)
157,158,Heinrich Georg Schomburgk,1885-06-23,1965-03-26,,,,,,(GER)
158,159,Robert Cleon Spies,1891-02-17,1982-10-22,,,,,,(RUS)
159,160,Carl-Uwe Steeb,1967-09-01,,Aalen,(GER),Baden-Württemberg,180.0,74.0,(GER)
160,161,Michael Detlef Stich,1968-10-18,,Pinneberg,(GER),Schleswig-Holstein,192.0,79.0,(GER)
161,162,"Friedrich Adolf ""Fritz"" Traun",1876-03-29,1908-07-11,Wandsbek,(GER),Hamburg,,,(GER)
162,163,"Alexander Moritz Reinhold ""Fritz"" von Bissing",1886-09-09,1954-03-18,Metz,(FRA),Moselle,,,(FRA)
163,164,Ernst Gebhard Georg Otto von Müller,1875-10-17,1976-04-02,Jülich,(GER),Nordrhein-Westfalen,,,(GER)
164,165,Helen Amankwah,1964-04-13,,,,,,,
165,166,Patricia Akosua Offel,1971-12-19,,,,,,,
166,167,Patience Abena Opokua,1969-06-17,,,,,,,
167,168,Winifred Addy,1973-03-17,,,,,,,
168,169,Christina Papadaki,1973-02-24,,,,,173.0,55.0,(GRE)
169,170,Olga Tsarmpopoulou,1968-06-19,,,,,170.0,58.0,
170,171,Lena Valaoritou (-Skaramagna),1897-03-01,,,,,,,(GRE)
171,172,Christina Zachariadou,1974-08-28,,,,,163.0,57.0,(GRE)
172,173,Aristidis Akratopoulos,,,,,,,,
173,174,"Konstantinos ""Kostas"" Akratopoulos",,,,,,,,
174,175,"Anastasios ""Tasos"" Bavelas",1968-02-27,,,,,180.0,76.0,(GRE)
175,176,Konstantinos Efremoglou,1962-12-04,,,,,187.0,74.0,(GRE)
176,177,Georgios Kalovelonis,1959-08-23,,,,,192.0,82.0,(GRE)
177,178,Demetrius Emmanuel Casdagli,1872-10-10,1931-07-06,Salford,(GBR),England,,,(GBR)
178,179,Kallinikos Kreangka,1972-03-08,,Bistrița,(ROU),Bistrița-Năsăud,169.0,62.0,(ROU)
179,180,Pantelis Papadopoulos,1902-01-01,,,,,,,
180,181,"Chios ""Konstantinos"" Paspatis",1878-06-05,1903-07-01,,,,,,(GBR)
181,182,Dimitrios Stephen Petrokokkinos,1878-04-17,1942-05-10,Ilford,(GBR),England,,,(GBR)
182,183,D. Frangopoulos,,,,,,,,
183,184,Evangelos Rallis,,,,,,,,
184,185,Daniel Tsiokas,1971-06-19,,Cluj-Napoca,(ROU),Cluj,180.0,68.0,(ROU)
185,186,Avgoustos Zerlentis,1886-11-05,,,,,,,(EGY)
186,187,Kenneth Erichsen,1972-12-28,,,,,179.0,72.0,
187,188,Ronald Jean-Martin Agénor,1964-11-13,,Rabat,(MAR),Rabat-Salé-Kénitra,180.0,79.0,(MAR)
188,189,"Oi Ni ""Emmy"" Chan",1966-05-15,,,,,,,
189,190,Chan Suk Yuen,1969-06-25,,,,,,,
190,191,Chan Tan Lui,1969-01-12,,,,,,,
191,192,Chai Po Wa,1966-04-12,,,,,,,
192,193,Hui So Hung,1958-12-02,,,,,160.0,57.0,(INA)
193,194,Mok Ka Sha,1962-10-23,,,,,163.0,55.0,(CHN)
194,195,Wong Chun Fan,1969-09-23,,,,,,,
195,196,Chan Kin Ngai,1968-11-18,,,,,170.0,58.0,(CHN)
196,197,Chan Siu Kwong,1966-05-30,,,,,185.0,79.0,
197,198,Chan Chi Ming,1964-05-28,,,,,163.0,59.0,
198,199,Chan Kong Wah,1961-08-31,,,,,,,(CHN)
199,200,"Yi Ming ""Tim"" He",1962-04-14,,,,,176.0,62.0,
200,201,Liu Fuk Man,1952-10-11,,,,,176.0,75.0,
201,202,Lo Chuen Tsung,1963-10-08,,,,,170.0,60.0,
202,203,Ng Pak Kum,1968-10-08,,,,,176.0,63.0,
203,204,Vong Lu Veng,1950-03-12,,,,,170.0,60.0,
204,205,Wong Wai Lap,1969-07-16,,,,,179.0,67.0,
205,206,Csilla Bátorfi,1969-03-03,,Szombathely,(HUN),Vas,165.0,69.0,(HUN)
206,207,Virág Csurgó (-Tamas),1972-11-10,,Siófok,(HUN),Somogy,172.0,63.0,(HUN)
207,208,Andrea Dakó,1972-08-12,,Budapest,(HUN),Budapest,165.0,60.0,(HUN)
208,209,Csilla Fórián,1969-01-02,,Debrecen,(HUN),Hajdú-Bihar,166.0,53.0,(HUN)
209,210,Andrea Harsági,1971-03-22,,Nyíregyháza,(HUN),Szabolcs-Szatmár-Bereg,171.0,56.0,(HUN)
210,211,Ilona (Ili) Julianna Mária Váradi (-Pétery),1891-08-04,1945-02-19,Budapest,(HUN),Budapest,,,(HUN)
211,212,"Andrea Temesvári (-Trunkos, -Visontai)",1966-04-26,,Budapest,(HUN),Budapest,180.0,64.0,(HUN)
212,213,Krisztina Tóth,1974-05-29,,Miskolc,(HUN),Borsod-Abaúj-Zemplén,164.0,62.0,(HUN)
213,214,Edit Urbán,1961-03-27,,Budapest,(HUN),Budapest,163.0,65.0,(HUN)
214,215,Zoltán Bátorfi,1975-07-20,,Szombathely,(HUN),Vas,188.0,79.0,(HUN)
215,216,Lajos Göncz,1887-06-16,1974-10-14,Kőszeg,(HUN),Vas,,,(HUN)
216,217,Zsolt Harczi,1967-02-17,,Cegléd,(HUN),Pest,180.0,72.0,(HUN)
217,218,Kálmán Bódog Kirchmayer,1897-11-15,1990-11-06,Rzeszów,(POL),Podkarpackie,,,(POL)
218,219,Tibor Klampár,1953-04-30,,Budapest,(HUN),Budapest,180.0,75.0,(HUN)
219,220,Zsolt Kriston,1961-02-12,,Miskolc,(HUN),Borsod-Abaúj-Zemplén,185.0,76.0,(HUN)
220,221,Gábor Köves,1970-01-07,,Budapest,(HUN),Budapest,187.0,87.0,(HUN)
221,222,Dezső Márton Lauber,1879-05-23,1966-09-05,Pécs,(HUN),Baranya,,,(HUN)
222,223,László Markovits de Spizza et Kisterpest,1970-04-04,,,,,180.0,80.0,(MEX)
223,224,Károly Németh,1970-08-31,,Budapest,(HUN),Budapest,167.0,67.0,(HUN)
224,225,Sándor Noszály,1972-03-16,,Budapest,(HUN),Budapest,192.0,90.0,(HUN)
225,226,Momcsilló Tapavicza,1872-10-14,1949-01-10,Nadalj,(SRB),Južna Bačka,,,(SRB)
226,227,Ede Tóth,1884-03-11,1943-03-01,Oradea,(ROU),Bihor,,,(ROU)
227,228,Leó László Baráth (Freund-),1891-06-09,,Budapest,(HUN),Budapest,,,(HUN)
228,229,Aurél Albert Kelemen,1888-04-20,1968-11-10,Budapest,(HUN),Budapest,,,(HUN)
229,230,Tóbiás Pál Béla  Kehrling,1891-01-25,1937-04-26,Spišská Sobota,(SVK),Prešov,,,(SVK)
230,231,Jenő Vilmos Zsigmondy,1888-07-04,1930-07-30,Budapest,(HUN),Budapest,,,(HUN)
231,232,Aida Steshenko,1968-08-11,,,,,168.0,58.0,
232,233,"Nani Rahayu ""Yayuk"" Basuki-Suharyadi",1970-11-30,,Yogyakarta,(INA),Daerah Istimewa Yogyakarta,165.0,55.0,(INA)
233,234,Rossy Pratiwi Dipoyanti,1972-06-28,,Bandung,(INA),Jawa Barat,,,(INA)
234,235,Aadjijatmiko Christina Finarsih,1972-02-08,,Sleman,(INA),Jawa Tengah,,,(INA)
235,236,Ling Ling Agustin Minangmojo,1969-08-23,,Kediri,(INA),Jawa Timur,,,(INA)
236,237,Anton Liederer,1956-05-20,,,,,174.0,67.0,
237,238,Riseu Rosalina,1972-09-19,,,,,,,
238,239,Zelin Resiana,1972-07-09,,Magelang,(INA),Jawa Tengah,169.0,58.0,(INA)
239,240,Efi Yuliani Santoso,1971-10-29,,Semarang,(INA),Jawa Tengah,,,(INA)
240,241,Sarwendah Kusumawardhani Sukiran,1967-08-22,,Malang,(INA),Jawa Timur,,,(INA)
241,242,Erma S. Sulistianingsih,1965-11-05,,,,,,,
242,243,"Lucia Francisca ""Susy"" Susanti Haditono",1971-02-11,,Tasikmalaya,(INA),Jawa Barat,161.0,,(INA)
243,244,Lili Tampi,1970-05-19,,Tasikmalaya,(INA),Jawa Barat,161.0,,(INA)
244,245,Romana Tedjakusuma,1976-07-24,,Surabaya,(INA),Jawa Timur,,,(INA)
245,246,Rosiana Tendean,1964-08-25,,Makassar,(INA),Sulawesi Selatan,,,(INA)
246,247,Minarti Timur,1968-03-24,,Surabaya,(INA),Jawa Timur,163.0,55.0,(INA)
247,248,Mia Audina Tjiptawan-Lobman,1979-08-22,,Jakarta,(INA),Daerah Khusus Ibukota Jakarta,163.0,67.0,(INA)
248,249,Suzanna Wibowo (Anggarkusuma-),1963-11-25,,Jakarta,(INA),Daerah Khusus Ibukota Jakarta,,,(INA)
249,250,Antonius Budi Ariantho,1971-10-03,,Pekalongan,(INA),Jawa Tengah,170.0,66.0,(INA)
250,251,Rudy Gunawan,1966-12-31,,Solo,(INA),Jawa Tengah,185.0,83.0,(INA)
251,252,Eddy Hartono Arbie,1964-07-19,,Kudus,(INA),Jawa Tengah,173.0,73.0,(INA)
252,253,Michael Ludwig Hariyanto Arbi,1972-01-21,,Kudus,(INA),Jawa Tengah,178.0,70.0,(INA)
253,254,Tri Kusharyanto,1974-01-18,,Yogyakarta,(INA),Daerah Istimewa Yogyakarta,167.0,60.0,(INA)
254,255,Alexander Alan Budikusuma Wiratama,1968-03-29,,Surabaya,(INA),Jawa Timur,178.0,71.0,(INA)
255,256,Denny Kwan Kantono,1970-01-12,,Samarinda,(INA),Kalimantan Timur,182.0,,(INA)
256,257,Flandy Limpele,1974-02-09,,Manado,(INA),Sulawesi Utara,181.0,73.0,(INA)
257,258,Rexy Ronald Mainaky,1968-03-09,,Ternate,(INA),Maluku Utara,170.0,65.0,(INA)
258,259,Tonny Zwingly Maringgi,1959-06-10,2019-09-15,Kendari,(INA),Sulawesi Tenggara,167.0,65.0,(INA)
259,260,Ricky Achmad Subagja,1971-01-27,,Bandung,(INA),Jawa Barat,172.0,62.0,(INA)
260,261,Suharyadi,1965-02-14,,Blora,(INA),Jawa Tengah,170.0,60.0,(INA)
261,262,Bambang Suprianto,1969-08-20,,Solo,(INA),Jawa Tengah,173.0,69.0,(INA)
262,263,Joko Suprianto,1966-01-21,,Solo,(INA),Jawa Tengah,173.0,68.0,(INA)
263,264,Hermawan Susanto,1967-09-24,,Kudus,(INA),Jawa Tengah,170.0,62.0,(INA)
264,265,Anton Suseno,1971-12-15,,Indramayu,(INA),Jawa Barat,178.0,70.0,(INA)
265,266,Donald Wailan Walalangi,1960-04-14,,Jakarta,(INA),Daerah Khusus Ibukota Jakarta,174.0,67.0,(INA)
266,267,Benny Wijaya,1973-10-28,,Kebumen,(INA),Jawa Tengah,180.0,70.0,(INA)
267,268,Ardy Bernardus Wiranata,1970-02-10,,Jakarta,(INA),Daerah Khusus Ibukota Jakarta,171.0,67.0,(INA)
